<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.03.11	72.22	72.75	69.80	69.80	6451	0	0
2014.03.12	70.02	71.35	69.00	71.03	6492	0	0
2014.03.13	71.15	71.45	68.15	68.81	7762	0	0
2014.03.14	68.82	69.43	67.46	67.71	7224	0	0
2014.03.17	67.68	68.95	66.62	68.75	7122	0	0
2014.03.18	68.75	69.60	68.30	68.98	5618	0	0
2014.03.19	69.00	69.29	67.47	68.19	5725	0	0
2014.03.20	68.20	68.34	66.82	66.89	5593	0	0
2014.03.21	66.70	67.92	65.89	67.16	6474	0	0
2014.03.24	67.28	67.50	63.36	63.98	8471	0	0
2014.03.25	64.39	66.19	63.78	64.36	9019	0	0
2014.03.26	63.00	66.10	60.31	60.35	11627	0	0
2014.03.27	60.41	61.90	57.98	61.39	11859	0	0
2014.03.28	61.49	61.95	59.34	60.29	8287	0	0
2014.03.31	60.52	61.52	59.87	60.24	6971	0	0
2014.04.01	60.37	62.99	60.24	62.95	7245	0	0
2014.04.02	62.98	63.91	62.01	62.45	6574	0	0
2014.04.03	62.79	63.17	59.13	59.47	8020	0	0
2014.04.04	59.49	60.20	56.32	56.50	12973	0	0
2014.04.07	56.11	58.00	55.44	57.25	11216	0	0
2014.04.08	57.19	58.71	56.95	58.27	8327	0	0
2014.04.09	58.39	62.87	58.39	62.84	8333	0	0
2014.04.10	62.98	63.53	58.68	59.09	11432	0	0
2014.04.11	59.19	60.31	57.31	58.54	11296	0	0
2014.04.14	58.41	60.45	57.78	59.21	9536	0	0
2014.04.15	59.00	59.90	55.88	59.67	13555	0	0
2014.04.16	59.84	60.19	57.74	58.75	11894	0	0
2014.04.17	58.50	60.58	58.45	58.99	8143	0	0
2014.04.21	59.36	61.93	59.15	61.85	8613	0	0
2014.04.22	62.00	63.44	62.00	63.32	6800	0	0
2014.04.23	63.50	65.04	56.96	63.55	17813	0	0
2014.04.24	63.86	64.99	59.77	60.65	15145	0	0
2014.04.25	60.69	60.97	57.44	57.45	8740	0	0
2014.04.28	54.82	58.59	54.61	55.96	10733	0	0
2014.04.29	56.60	58.28	55.41	57.60	9518	0	0
2014.04.30	57.56	60.55	57.10	60.43	10802	0	0
2014.05.01	60.30	62.28	59.78	60.96	7806	0	0
2014.05.02	61.00	61.89	60.18	60.40	6692	0	0
2014.05.05	60.46	61.35	59.18	61.23	6085	0	0
2014.05.06	61.42	61.42	58.49	58.68	7095	0	0
2014.05.07	58.66	59.30	56.26	57.09	8683	0	0
2014.05.08	57.45	58.82	56.50	56.76	8092	0	0
2014.05.09	56.92	57.65	56.38	57.38	6913	0	0
2014.05.12	57.50	60.08	57.17	59.89	5373	0	0
2014.05.13	59.98	60.89	59.51	59.83	5848	0	0
2014.05.14	59.90	60.45	58.95	59.41	5864	0	0
2014.05.15	59.01	59.61	57.52	57.98	6709	0	0
2014.05.16	57.89	58.45	57.31	58.00	5750	0	0
2014.05.19	57.82	59.56	57.57	59.21	4947	0	0
2014.05.20	59.48	60.19	58.18	58.36	6641	0	0
2014.05.21	58.30	60.69	58.25	60.62	5697	0	0
2014.05.22	60.73	61.48	60.40	60.51	5622	0	0
2014.05.23	60.41	61.45	60.15	61.32	4368	0	0
2014.05.27	61.60	63.58	61.57	63.35	4952	0	0
2014.05.28	63.32	64.14	62.62	63.49	5549	0	0
2014.05.29	63.47	64.30	63.30	63.88	4673	0	0
2014.05.30	63.88	64.17	62.56	63.20	5283	0	0
2014.06.02	63.32	63.59	62.05	62.95	5216	0	0
2014.06.03	62.85	63.42	62.32	62.72	4673	0	0
2014.06.04	62.41	63.59	62.07	63.34	4311	0	0
2014.06.05	63.24	64.36	62.82	63.21	5431	0	0
2014.06.06	63.21	63.48	62.15	62.44	4707	0	0
2014.06.09	62.47	63.34	61.79	63.23	5297	0	0
2014.06.10	62.90	65.93	62.70	65.76	5721	0	0
2014.06.11	65.50	65.89	64.90	65.83	5074	0	0
2014.06.12	65.69	66.50	64.06	64.37	5998	0	0
2014.06.13	64.38	64.97	63.83	64.58	4827	0	0
2014.06.16	64.29	64.88	63.75	64.17	4421	0	0
2014.06.17	64.52	64.88	63.93	64.41	4325	0	0
2014.06.18	64.47	65.75	64.05	65.51	5055	0	0
2014.06.19	65.33	65.60	64.10	64.18	4667	0	0
2014.06.20	64.33	64.81	63.35	64.38	4742	0	0
2014.06.23	64.44	65.66	64.11	65.19	4425	0	0
2014.06.24	65.48	67.17	65.00	65.72	5493	0	0
2014.06.25	65.80	67.48	65.50	67.35	5350	0	0
2014.06.26	67.44	68.08	66.90	67.00	5220	0	0
2014.06.27	67.11	67.70	66.53	67.47	4380	0	0
2014.06.30	67.50	67.92	67.13	67.30	3933	0	0
2014.07.01	67.54	68.44	67.29	67.91	4086	0	0
2014.07.02	67.57	68.33	65.79	66.50	4679	0	0
2014.07.03	66.50	67.05	65.76	66.33	3452	0	0
2014.07.07	66.33	66.57	65.12	65.31	4026	0	0
2014.07.08	65.59	65.59	62.21	62.81	6518	0	0
2014.07.09	62.88	65.12	62.88	65.10	6395	0	0
2014.07.10	64.80	65.34	63.05	64.89	6736	0	0
2014.07.11	65.27	66.59	64.52	66.41	4753	0	0
2014.07.14	66.69	68.17	66.65	68.03	4366	0	0
2014.07.15	67.95	68.17	66.26	67.00	6064	0	0
2014.07.16	67.10	67.94	66.94	67.57	4466	0	0
2014.07.17	67.50	67.85	66.00	66.24	6535	0	0
2014.07.18	66.20	68.69	66.16	68.69	5342	0	0
2014.07.21	68.70	69.96	68.16	69.54	5257	0	0
2014.07.22	69.60	69.96	68.61	69.31	4969	0	0
2014.07.23	69.64	75.45	69.08	75.22	11654	0	0
2014.07.24	71.88	78.44	71.88	75.07	14700	0	0
2014.07.25	75.05	75.67	74.66	75.20	5105	0	0
2014.07.28	75.23	75.50	73.85	74.69	5292	0	0
2014.07.29	74.68	75.23	73.58	74.09	6444	0	0
2014.07.30	74.16	75.19	73.60	74.61	5684	0	0
2014.07.31	74.60	74.60	72.44	72.80	6787	0	0
2014.08.01	72.80	73.22	70.91	72.25	7992	0	0
2014.08.04	72.03	73.88	72.03	73.54	5477	0	0
2014.08.05	73.98	73.99	72.18	72.64	6066	0	0
2014.08.06	72.79	73.72	71.79	72.52	5308	0	0
2014.08.07	72.53	74.00	72.49	73.22	5814	0	0
2014.08.08	72.94	73.44	72.18	73.01	4929	0	0
2014.08.11	73.28	73.91	73.06	73.46	4088	0	0
2014.08.12	73.56	73.67	72.22	72.78	5579	0	0
2014.08.13	72.98	74.25	72.76	73.79	6943	0	0
2014.08.14	73.82	74.43	73.68	74.28	5970	0	0
2014.08.15	74.38	74.66	72.99	73.58	7858	0	0
2014.08.18	73.80	74.72	73.80	74.54	5478	0	0
2014.08.19	74.87	75.58	74.59	75.35	4930	0	0
2014.08.20	75.25	75.45	74.60	74.85	5503	0	0
2014.08.21	74.80	75.19	74.40	74.55	4846	0	0
2014.08.22	74.53	75.99	73.57	74.55	6281	0	0
2014.08.25	74.96	75.30	74.70	74.98	4850	0	0
2014.08.26	74.92	76.05	74.71	75.88	4514	0	0
2014.08.27	76.07	76.32	74.45	74.65	6377	0	0
2014.08.28	74.57	74.80	73.43	73.83	5833	0	0
2014.08.29	74.11	74.86	73.89	74.67	4349	0	0
2014.09.02	74.98	76.85	74.82	76.65	6109	0	0
2014.09.03	76.90	77.48	75.59	75.76	8030	0	0
2014.09.04	75.89	76.93	75.39	76.00	7010	0	0
2014.09.05	76.12	77.38	75.58	77.27	6564	0	0
2014.09.08	79.00	79.00	77.01	77.81	7885	0	0
2014.09.09	77.86	78.17	76.19	76.52	7566	0	0
2014.09.10	76.85	77.95	76.51	77.46	7858	0	0
2014.09.11	77.36	78.36	76.53	77.91	8726	0	0
2014.09.12	78.08	78.30	77.09	77.47	7918	0	0
2014.09.15	77.25	77.35	73.42	74.56	11436	0	0
2014.09.16	74.61	76.23	73.06	76.00	10571	0	0
2014.09.17	76.23	77.25	75.55	76.53	8993	0	0
2014.09.18	76.12	77.33	76.12	77.02	6647	0	0
2014.09.19	77.35	78.30	76.44	77.61	8477	0	0
2014.09.22	77.49	77.53	75.95	76.75	8837	0	0
2014.09.23	76.59	78.63	76.00	78.44	9116	0	0
2014.09.24	78.05	78.62	77.50	78.47	8695	0	0
2014.09.25	78.50	78.99	77.12	77.25	11117	0	0
2014.09.26	77.45	78.84	77.10	78.80	8394	0	0
2014.09.29	78.85	79.20	77.90	78.91	9228	0	0
2014.09.30	78.88	79.70	78.59	79.13	8897	0	0
2014.10.01	78.95	79.08	75.90	76.52	12658	0	0
2014.10.02	76.39	77.48	75.63	77.19	12943	0	0
2014.10.03	77.25	78.06	77.22	77.53	7515	0	0
2014.10.06	77.44	77.98	76.84	77.54	10411	0	0
2014.10.07	77.56	77.95	76.10	76.39	9655	0	0
2014.10.08	76.27	77.71	75.09	77.50	11776	0	0
2014.10.09	77.50	78.04	75.33	76.00	13332	0	0
2014.10.10	75.50	76.50	72.75	72.83	17866	0	0
2014.10.13	72.66	74.78	72.08	73.05	15658	0	0
2014.10.14	73.21	74.27	72.04	73.55	16199	0	0
2014.10.15	73.62	73.80	70.32	73.24	22035	0	0
2014.10.16	72.20	73.35	70.51	72.89	19596	0	0
2014.10.17	73.18	76.00	72.90	75.39	12732	0	0
2014.10.20	75.70	77.11	75.36	76.95	11062	0	0
2014.10.21	77.20	78.85	77.14	78.51	8848	0	0
2014.10.22	78.70	79.85	78.00	78.49	11515	0	0
2014.10.23	78.50	80.63	78.50	80.00	9178	0	0
2014.10.24	79.84	80.76	79.31	80.48	8040	0	0
2014.10.27	80.80	81.05	79.51	80.30	9367	0	0
2014.10.28	80.48	82.00	73.65	80.41	12776	0	0
2014.10.29	74.63	80.72	73.50	75.89	20353	0	0
2014.10.30	75.95	76.10	72.89	74.03	12117	0	0
2014.10.31	74.46	75.70	74.30	74.95	8886	0	0
2014.11.03	74.99	75.65	73.69	73.89	7672	0	0
2014.11.04	73.80	75.82	73.64	75.64	8944	0	0
2014.11.05	75.90	76.80	74.41	74.79	9620	0	0
2014.11.06	74.66	76.29	74.30	75.21	7240	0	0
2014.11.07	75.53	76.00	75.01	75.62	6410	0	0
2014.11.10	75.60	75.83	74.61	74.90	6155	0	0
2014.11.11	74.88	75.71	74.02	74.51	5263	0	0
2014.11.12	74.73	75.19	73.53	74.66	7172	0	0
2014.11.13	74.88	75.24	73.63	74.13	8041	0	0
2014.11.14	74.18	74.93	74.03	74.77	6387	0	0
2014.11.17	73.50	75.66	73.50	74.16	8616	0	0
2014.11.18	74.39	74.80	73.89	74.25	6832	0	0
2014.11.19	74.07	74.63	73.10	73.31	7587	0	0
2014.11.20	73.06	73.99	72.50	73.50	7049	0	0
2014.11.21	73.95	74.55	73.49	73.56	6342	0	0
2014.11.24	73.93	74.35	73.34	74.01	5336	0	0
2014.11.25	73.99	75.74	73.99	75.60	6740	0	0
2014.11.26	75.65	77.78	75.45	77.65	6566	0	0
2014.11.28	77.69	78.27	77.22	77.70	4770	0	0
2014.12.01	77.30	77.70	74.79	75.05	9303	0	0
2014.12.02	75.45	75.91	75.03	75.28	6986	0	0
2014.12.03	75.60	75.73	74.40	74.93	6846	0	0
2014.12.04	74.71	75.55	74.47	75.15	6613	0	0
2014.12.05	75.45	76.76	75.25	76.26	6736	0	0
2014.12.08	76.01	77.25	75.39	76.42	9058	0	0
2014.12.09	76.25	76.93	74.76	76.89	9310	0	0
2014.12.10	76.56	77.55	76.05	76.18	11085	0	0
2014.12.11	76.33	78.52	76.11	77.51	8691	0	0
2014.12.12	77.15	78.88	76.20	77.90	11223	0	0
2014.12.15	78.27	78.68	76.55	77.25	12704	0	0
2014.12.16	77.00	77.39	74.51	74.92	13658	0	0
2014.12.17	74.75	76.41	74.68	75.98	12635	0	0
2014.12.18	76.46	78.40	75.96	78.27	9129	0	0
2014.12.19	78.45	80.00	78.10	79.88	8786	0	0
2014.12.22	79.88	81.89	79.49	81.33	8108	0	0
2014.12.23	81.48	82.17	80.39	80.71	7382	0	0
2014.12.24	80.61	81.43	80.35	80.77	3842	0	0
2014.12.26	80.81	81.28	80.50	80.72	5311	0	0
2014.12.29	80.70	80.96	79.70	80.07	6522	0	0
2014.12.30	80.08	80.59	79.09	79.25	7034	0	0
2014.12.31	79.80	79.80	77.86	78.17	5665	0	0
2015.01.02	78.60	78.91	77.68	78.44	3843	0	0
2015.01.05	77.99	79.23	76.85	77.35	5242	0	0
2015.01.06	77.24	77.56	75.35	76.40	5988	0	0
2015.01.07	76.59	77.34	75.82	76.11	4917	0	0
2015.01.08	76.76	78.21	76.07	78.11	3413	0	0
2015.01.09	78.23	78.60	77.19	77.76	4374	0	0
2015.01.12	77.91	77.97	76.20	76.83	4471	0	0
2015.01.13	77.10	78.06	75.84	76.50	4595	0	0
2015.01.14	76.34	77.18	76.02	76.26	5035	0	0
2015.01.15	76.27	76.54	73.52	73.97	5364	0	0
2015.01.16	73.99	75.30	73.83	75.20	3955	0	0
2015.01.20	75.73	76.28	74.81	76.17	3935	0	0
2015.01.21	76.23	77.28	75.84	76.75	3922	0	0
2015.01.22	77.17	77.73	76.67	77.61	3722	0	0
2015.01.23	77.59	78.17	77.02	77.75	3078	0	0
2015.01.26	77.91	78.44	77.27	77.50	2827	0	0
2015.01.27	76.75	76.82	75.61	75.79	3435	0	0
2015.01.28	76.96	77.61	76.01	76.69	4144	0	0
2015.01.29	76.78	77.97	74.20	77.96	7061	0	0
2015.01.30	77.97	78.12	75.77	75.87	4653	0	0
2015.02.02	76.10	76.11	73.74	74.97	5130	0	0
2015.02.03	74.98	75.55	73.84	75.37	4317	0	0
2015.02.04	75.02	76.33	74.97	75.44	3624	0	0
2015.02.05	75.46	75.95	75.21	75.67	3333	0	0
2015.02.06	75.62	75.62	74.24	74.37	3416	0	0
2015.02.09	74.04	74.81	73.43	74.52	3355	0	0
2015.02.10	74.87	75.32	74.44	75.20	3359	0	0
2015.02.11	75.04	76.73	75.01	76.50	3308	0	0
2015.02.12	76.73	76.83	75.88	76.28	2848	0	0
2015.02.13	76.37	76.43	75.48	75.69	2486	0	0
2015.02.17	75.14	76.89	75.03	75.47	3169	0	0
2015.02.18	75.83	76.87	75.43	76.48	3247	0	0
2015.02.19	76.95	79.81	76.82	79.27	3478	0	0
2015.02.20	79.54	80.31	79.18	79.88	3128	0	0
2015.02.23	79.89	80.17	78.44	78.74	3132	0	0
2015.02.24	78.50	79.46	78.08	78.42	3513	0	0
2015.02.25	78.34	80.11	78.34	79.50	4003	0	0
2015.02.26	79.92	81.27	79.85	80.45	4004	0	0
2015.02.27	80.61	81.21	78.61	78.80	3548	0	0
2015.03.02	78.98	79.83	78.50	79.70	3690	0	0
2015.03.03	79.60	79.60	78.51	79.49	3443	0	0
2015.03.04	79.27	81.13	78.83	80.84	3660	0	0
2015.03.05	81.22	81.97	81.05	81.13	3718	0	0
2015.03.06	80.94	81.30	79.82	79.95	4218	0	0
2015.03.09	79.71	79.86	78.62	79.52	3680	0	0
2015.03.10	78.52	79.21	77.61	77.68	4202	0	0
2015.03.11	77.72	78.40	77.25	77.62	3697	0	0
2015.03.12	77.94	79.03	77.65	78.95	3239	0	0
2015.03.13	78.48	79.36	77.67	78.17	3781	0	0
2015.03.16	77.96	78.10	77.33	77.93	2823	0	0
2015.03.17	78.30	79.59	78.03	79.41	3998	0	0
2015.03.18	79.16	81.15	79.06	80.88	4862	0	0
2015.03.19	81.02	82.96	80.94	82.73	3320	0	0
2015.03.20	83.37	84.47	83.05	83.70	3172	0	0
2015.03.23	83.91	84.93	83.40	84.41	3015	0	0
2015.03.24	84.52	85.94	84.52	85.21	3211	0	0
2015.03.25	85.26	85.47	82.93	83.00	4307	0	0
2015.03.26	82.70	83.74	82.12	83.05	4276	0	0
2015.03.27	83.27	83.92	82.86	83.45	3661	0	0
2015.03.30	83.90	84.28	82.39	83.20	4052	0	0
2015.03.31	82.87	83.47	82.23	82.23	3421	0	0
2015.04.01	82.25	82.67	80.85	81.51	4490	0	0
2015.04.02	82.20	82.53	81.41	81.67	3361	0	0
2015.04.06	80.78	82.78	80.78	82.52	3144	0	0
2015.04.07	82.52	83.39	82.20	82.24	3063	0	0
2015.04.08	82.58	83.07	81.82	82.25	3730	0	0
2015.04.09	82.44	82.72	81.69	82.09	3409	0	0
2015.04.10	82.10	82.56	81.89	81.94	2596	0	0
2015.04.13	81.95	83.90	81.93	83.03	3529	0	0
2015.04.14	83.04	83.65	82.41	83.47	3139	0	0
2015.04.15	83.48	83.55	82.24	82.73	2639	0	0
2015.04.16	82.49	83.04	82.12	82.24	2537	0	0
2015.04.17	81.52	82.07	80.35	80.79	3337	0	0
2015.04.20	81.20	83.07	81.20	82.95	2833	0	0
2015.04.21	84.03	84.46	83.52	83.62	3249	0	0
2015.04.22	84.30	84.71	83.63	84.41	2475	0	0
2015.04.23	84.10	85.55	82.42	82.47	6132	0	0
2015.04.24	82.77	82.90	81.49	81.49	3553	0	0
2015.04.27	81.79	82.90	81.61	81.68	3265	0	0
2015.04.28	81.85	81.87	80.20	80.50	3826	0	0
2015.04.29	79.82	81.36	79.48	80.42	4033	0	0
2015.04.30	80.01	80.93	78.30	78.64	3758	0	0
2015.05.01	79.20	79.71	78.09	78.99	3025	0	0
2015.05.04	79.23	79.64	78.62	78.82	2432	0	0
2015.05.05	78.53	78.77	77.20	77.50	3613	0	0
2015.05.06	77.91	78.79	77.03	77.96	3615	0	0
2015.05.07	77.94	78.91	77.54	78.50	3240	0	0
2015.05.08	79.12	79.18	78.01	78.57	2657	0	0
2015.05.11	78.46	79.00	77.90	78.02	2634	0	0
2015.05.12	77.86	77.86	76.77	77.52	3139	0	0
2015.05.13	77.71	78.50	77.63	78.47	2499	0	0
2015.05.14	78.95	81.81	78.66	81.35	3256	0	0
2015.05.15	81.35	81.47	80.16	80.34	3434	0	0
2015.05.18	80.30	81.35	80.28	80.93	2722	0	0
2015.05.19	81.17	81.67	80.53	80.59	2985	0	0
2015.05.20	80.53	81.06	79.43	80.59	2825	0	0
2015.05.21	79.85	80.88	79.85	80.50	2461	0	0
2015.05.22	80.26	81.29	80.20	80.58	2796	0	0
2015.05.26	80.22	80.55	79.06	79.34	3014	0	0
2015.05.27	79.37	80.63	79.37	80.59	2238	0	0
2015.05.28	80.60	81.04	79.99	80.15	2762	0	0
2015.05.29	79.99	79.99	78.86	79.21	2521	0	0
2015.06.01	79.37	80.35	78.64	80.19	2976	0	0
2015.06.02	80.00	81.32	79.53	80.49	3793	0	0
2015.06.03	81.25	82.50	81.25	82.35	3116	0	0
2015.06.04	82.27	82.92	81.48	81.88	3620	0	0
2015.06.05	81.82	82.43	81.49	82.10	3265	0	0
2015.06.08	81.77	81.94	80.12	80.69	3168	0	0
2015.06.09	80.58	81.16	79.29	80.73	3341	0	0
2015.06.10	80.75	82.57	80.74	82.27	2673	0	0
2015.06.11	82.30	82.86	81.34	81.77	3331	0	0
2015.06.12	81.66	82.05	81.18	81.51	3069	0	0
2015.06.15	80.52	80.90	80.05	80.73	2968	0	0
2015.06.16	80.74	81.48	80.42	81.07	2696	0	0
2015.06.17	81.70	82.16	81.31	81.89	3380	0	0
2015.06.18	81.70	83.16	81.59	82.81	2778	0	0
2015.06.19	82.84	82.94	82.10	82.55	2453	0	0
2015.06.22	83.41	84.94	83.29	84.64	2829	0	0
2015.06.23	84.90	87.94	84.87	87.73	3737	0	0
2015.06.24	87.64	89.22	87.41	88.84	4002	0	0
2015.06.25	89.20	89.37	87.83	88.19	3232	0	0
2015.06.26	88.05	88.31	86.80	88.16	4279	0	0
2015.06.29	86.50	87.46	85.71	85.78	4295	0	0
2015.06.30	86.55	86.64	85.55	86.02	4686	0	0
2015.07.01	86.91	87.92	86.47	86.88	3719	0	0
2015.07.02	87.36	87.38	86.32	87.24	3121	0	0
2015.07.06	86.44	88.16	86.28	87.53	4290	0	0
2015.07.07	87.64	87.70	85.22	87.25	5165	0	0
2015.07.08	86.22	86.70	85.42	85.71	4775	0	0
2015.07.09	86.68	87.56	85.63	86.05	4311	0	0
2015.07.10	87.36	88.19	86.75	88.02	3372	0	0
2015.07.13	88.61	90.18	88.34	90.08	3467	0	0
2015.07.14	90.31	90.74	89.65	89.78	3423	0	0
2015.07.15	89.90	90.96	89.40	89.73	4151	0	0
2015.07.16	90.20	90.74	89.75	90.72	3091	0	0
2015.07.17	92.63	95.35	92.53	94.90	4729	0	0
2015.07.20	95.67	98.57	95.33	97.70	5113	0	0
2015.07.21	98.98	99.18	97.12	98.38	4755	0	0
2015.07.22	96.65	97.55	95.90	96.82	3835	0	0
2015.07.23	96.94	97.40	94.78	95.25	4276	0	0
2015.07.24	97.28	97.73	95.85	96.92	5168	0	0
2015.07.27	96.56	96.72	93.81	94.11	6765	0	0
2015.07.28	94.78	95.53	93.28	95.27	4901	0	0
2015.07.29	96.10	97.24	94.73	97.00	5795	0	0
2015.07.30	94.91	95.76	91.79	94.98	8177	0	0
2015.07.31	94.81	96.29	94.00	94.08	5720	0	0
2015.08.03	93.49	95.04	92.77	93.98	6383	0	0
2015.08.04	93.73	94.70	93.30	94.05	5906	0	0
2015.08.05	95.22	97.05	95.06	96.33	5144	0	0
2015.08.06	97.13	98.70	94.42	95.27	7544	0	0
2015.08.07	95.23	95.28	93.59	94.30	6009	0	0
2015.08.10	95.57	95.86	93.60	94.16	5009	0	0
2015.08.11	93.73	94.70	92.88	93.70	5352	0	0
2015.08.12	92.66	94.41	91.16	94.32	5830	0	0
2015.08.13	93.99	94.69	93.32	93.69	5019	0	0
2015.08.14	93.54	94.69	93.18	94.42	4436	0	0
2015.08.17	94.28	94.36	93.37	93.89	3489	0	0
2015.08.18	93.99	95.81	93.99	95.18	4390	0	0
2015.08.19	94.68	96.07	94.15	95.53	5385	0	0
2015.08.20	93.90	94.72	90.44	90.45	6718	0	0
2015.08.21	87.28	89.14	85.58	85.98	10157	0	0
2015.08.24	75.64	87.05	71.86	83.02	17913	0	0
2015.08.25	86.92	87.64	83.08	83.89	10095	0	0
2015.08.26	85.86	87.41	83.23	87.40	11945	0	0
2015.08.27	89.14	90.01	87.16	89.34	8627	0	0
2015.08.28	89.87	91.44	89.87	90.76	7773	0	0
2015.08.31	90.40	90.95	88.87	89.67	6453	0	0
2015.09.01	86.41	89.35	86.41	87.20	9042	0	0
2015.09.02	88.86	89.78	87.60	89.69	7170	0	0
2015.09.03	89.75	89.79	87.71	88.21	6660	0	0
2015.09.04	87.08	88.31	86.67	88.27	5808	0	0
2015.09.08	89.70	90.20	88.81	89.53	4911	0	0
2015.09.09	90.53	91.95	90.15	90.33	5577	0	0
2015.09.10	90.02	91.93	89.60	91.81	6114	0	0
2015.09.11	91.66	92.05	91.10	91.93	4191	0	0
2015.09.14	92.24	92.59	91.57	92.17	3872	0	0
2015.09.15	92.29	93.22	91.75	92.87	3665	0	0
2015.09.16	92.79	93.57	92.61	93.53	3324	0	0
2015.09.17	93.29	95.47	92.86	94.26	5777	0	0
2015.09.18	93.15	95.16	93.02	94.53	5564	0	0
2015.09.21	94.59	96.45	94.47	95.37	5296	0	0
2015.09.22	93.58	94.64	91.89	92.80	5722	0	0
2015.09.23	93.39	94.28	92.77	94.14	4611	0	0
2015.09.24	92.94	94.74	92.21	94.29	5796	0	0
2015.09.25	95.75	95.78	92.04	92.77	5946	0	0
2015.09.28	92.05	92.24	88.15	89.39	7461	0	0
2015.09.29	89.05	90.01	85.69	86.70	7622	0	0
2015.09.30	88.33	89.93	88.00	89.67	6867	0	0
2015.10.01	90.08	90.71	88.34	90.68	7187	0	0
2015.10.02	88.83	92.17	88.34	91.95	6429	0	0
2015.10.05	92.88	94.24	92.63	93.92	4648	0	0
2015.10.06	94.09	94.10	92.32	92.70	5702	0	0
2015.10.07	93.12	93.63	91.34	92.17	5540	0	0
2015.10.08	91.90	93.19	90.45	92.51	5903	0	0
2015.10.09	92.79	93.70	92.21	93.25	5032	0	0
2015.10.12	93.22	94.57	92.65	94.06	3993	0	0
2015.10.13	93.74	95.34	93.52	94.08	5060	0	0
2015.10.14	94.03	95.17	93.59	93.99	5324	0	0
2015.10.15	94.92	96.27	94.87	95.92	4490	0	0
2015.10.16	96.09	97.37	95.33	97.34	4222	0	0
2015.10.19	96.95	98.44	96.90	98.41	4667	0	0
2015.10.20	98.74	99.54	96.54	96.97	5829	0	0
2015.10.21	97.28	98.15	96.47	97.01	5653	0	0
2015.10.22	97.77	99.59	97.53	99.33	5215	0	0
2015.10.23	101.79	102.81	100.14	102.36	6457	0	0
2015.10.26	102.12	103.78	101.52	103.74	5058	0	0
2015.10.27	102.83	104.07	102.38	103.46	4929	0	0
2015.10.28	103.83	104.44	102.89	104.16	5440	0	0
2015.10.29	103.93	105.08	103.50	104.89	4176	0	0
2015.10.30	104.42	104.69	101.63	102.14	5453	0	0
2015.11.02	102.46	103.44	101.17	103.17	4555	0	0
2015.11.03	103.30	103.60	102.37	102.50	4179	0	0
2015.11.04	103.09	104.10	102.47	103.92	4919	0	0
2015.11.05	108.66	110.61	107.93	109.07	7390	0	0
2015.11.06	108.15	108.70	105.89	106.93	6294	0	0
2015.11.09	106.90	108.21	105.83	106.50	6845	0	0
2015.11.10	105.81	108.11	105.21	107.61	6053	0	0
2015.11.11	108.25	109.84	107.09	109.13	6292	0	0
2015.11.12	108.22	109.35	107.96	108.01	6106	0	0
2015.11.13	107.68	108.20	103.99	103.99	7331	0	0
2015.11.16	103.20	104.14	100.44	103.90	8850	0	0
2015.11.17	104.72	106.17	104.12	105.31	7423	0	0
2015.11.18	105.75	107.67	105.36	107.67	5600	0	0
2015.11.19	107.42	107.67	105.93	106.34	5410	0	0
2015.11.20	106.94	107.84	106.59	107.19	4457	0	0
2015.11.23	107.16	107.43	106.05	107.01	4625	0	0
2015.11.24	106.04	106.46	104.37	105.48	5472	0	0
2015.11.25	106.26	106.57	105.08	105.38	3724	0	0
2015.11.27	105.67	105.89	104.84	105.42	2215	0	0
2015.11.30	105.82	106.03	103.73	104.19	4646	0	0
2015.12.01	104.74	107.03	104.48	106.91	5084	0	0
2015.12.02	106.93	107.88	105.76	106.15	5747	0	0
2015.12.03	106.30	106.80	103.33	104.41	7007	0	0
2015.12.04	104.77	106.20	104.08	106.06	5664	0	0
2015.12.07	106.32	106.80	104.63	105.55	5917	0	0
2015.12.08	104.01	106.87	103.88	106.74	6141	0	0
2015.12.09	106.13	106.40	103.53	104.57	7246	0	0
2015.12.10	105.00	106.37	104.38	105.23	5401	0	0
2015.12.11	103.97	104.29	101.89	102.10	6799	0	0
2015.12.14	102.16	104.71	101.44	104.70	8022	0	0
2015.12.15	105.26	105.76	104.25	104.55	5823	0	0
2015.12.16	105.27	107.04	104.17	106.77	6827	0	0
2015.12.17	107.56	107.69	106.10	106.46	6404	0	0
2015.12.18	105.89	106.54	103.95	104.32	6722	0	0
2015.12.21	104.93	105.03	103.58	104.58	5537	0	0
2015.12.22	105.29	105.64	104.78	105.39	4690	0	0
2015.12.23	105.86	106.07	103.83	104.52	4323	0	0
2015.12.24	104.70	105.29	104.48	105.00	2023	0	0
2015.12.28	104.86	105.90	104.50	105.89	4325	0	0
2015.12.29	106.41	107.71	106.22	107.34	3693	0	0
2015.12.30	106.94	107.18	106.05	106.16	3736	0	0
2015.12.31	105.91	106.14	104.60	104.78	4199	0	0
2016.01.04	101.83	102.20	100.06	101.90	6616	0	0
2016.01.05	102.74	103.68	101.64	102.92	5808	0	0
2016.01.06	101.02	103.73	100.89	102.59	6903	0	0
2016.01.07	100.48	101.38	97.28	98.11	9195	0	0
2016.01.08	99.58	100.46	97.01	97.22	8223	0	0
2016.01.11	97.85	98.54	95.36	97.60	8807	0	0
