<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.07.06	31.58	31.90	31.26	31.83	2956	0	0
2012.07.09	31.91	32.88	31.70	32.16	3444	0	0
2012.07.10	32.17	32.65	31.16	31.50	2644	0	0
2012.07.11	31.52	32.19	30.55	31.07	2659	0	0
2012.07.12	30.94	31.40	30.60	30.79	2742	0	0
2012.07.13	30.81	31.08	30.56	30.70	2167	0	0
2012.07.16	30.70	30.70	28.21	28.36	3578	0	0
2012.07.17	28.58	28.63	27.15	28.02	4856	0	0
2012.07.18	28.09	29.30	27.67	29.20	3398	0	0
2012.07.19	29.20	29.50	28.63	29.14	3153	0	0
2012.07.20	28.91	29.47	28.67	28.71	2473	0	0
2012.07.23	28.30	29.00	27.90	28.60	2736	0	0
2012.07.24	28.85	29.45	28.08	28.15	2818	0	0
2012.07.25	28.37	29.49	26.50	27.10	5741	0	0
2012.07.26	27.50	29.02	23.75	23.97	12290	0	0
2012.07.27	23.95	24.80	22.25	23.65	8265	0	0
2012.07.30	23.88	24.20	23.03	23.25	3250	0	0
2012.07.31	23.40	23.50	21.53	21.61	4168	0	0
2012.08.01	21.60	21.91	20.82	20.93	4074	0	0
2012.08.02	22.10	22.10	19.82	20.12	3881	0	0
2012.08.03	20.04	22.16	19.90	21.14	5569	0	0
2012.08.06	21.16	22.15	21.16	21.84	3335	0	0
2012.08.07	21.91	22.45	20.50	20.65	3937	0	0
2012.08.08	20.70	21.15	20.22	20.74	3491	0	0
2012.08.09	20.60	21.17	20.52	21.00	2405	0	0
2012.08.10	21.00	22.00	20.84	21.96	3498	0	0
2012.08.13	21.80	22.45	21.36	21.50	3411	0	0
2012.08.14	21.65	21.65	20.25	20.64	3506	0	0
2012.08.15	20.65	21.41	19.98	21.20	4383	0	0
2012.08.16	20.93	20.97	19.69	19.88	4547	0	0
2012.08.17	20.00	20.11	19.00	19.02	3158	0	0
2012.08.20	19.17	20.13	18.75	19.99	3789	0	0
2012.08.21	19.99	20.00	19.09	19.11	3703	0	0
2012.08.22	19.12	19.53	18.96	19.49	3006	0	0
2012.08.23	19.57	19.73	19.36	19.45	2529	0	0
2012.08.24	19.36	19.68	19.25	19.41	2094	0	0
2012.08.27	19.50	19.57	19.10	19.15	1944	0	0
2012.08.28	19.15	19.40	18.95	19.33	2022	0	0
2012.08.29	19.38	19.38	19.07	19.14	1568	0	0
2012.08.30	19.18	19.45	19.05	19.13	2174	0	0
2012.08.31	19.09	19.31	18.00	18.03	2926	0	0
2012.09.04	18.06	18.27	17.55	18.08	3256	0	0
2012.09.05	18.12	18.75	18.02	18.64	3244	0	0
2012.09.06	18.66	19.26	18.62	18.99	2388	0	0
2012.09.07	19.03	19.42	18.78	18.91	2167	0	0
2012.09.10	18.92	19.20	18.55	18.80	2129	0	0
2012.09.11	18.72	20.36	18.60	20.10	3591	0	0
2012.09.12	20.10	21.16	19.95	20.82	4799	0	0
2012.09.13	21.00	21.48	20.61	20.75	3529	0	0
2012.09.14	20.89	22.09	20.80	22.05	3675	0	0
2012.09.17	20.40	22.75	20.40	21.60	3618	0	0
2012.09.18	21.50	21.98	21.36	21.86	2720	0	0
2012.09.19	22.00	23.37	21.77	23.30	3880	0	0
2012.09.20	23.15	23.24	22.54	22.64	3355	0	0
2012.09.21	22.65	23.24	22.56	22.97	2950	0	0
2012.09.24	22.90	22.90	20.51	20.83	4899	0	0
2012.09.25	20.90	21.26	20.22	20.37	3195	0	0
2012.09.26	20.28	20.78	19.80	20.65	3107	0	0
2012.09.27	20.75	21.04	20.16	20.57	3080	0	0
2012.09.28	20.70	21.95	20.40	21.73	3717	0	0
2012.10.01	21.90	22.59	21.12	21.98	3639	0	0
2012.10.02	22.20	22.49	21.82	22.30	2636	0	0
2012.10.03	22.30	22.49	21.80	21.92	2537	0	0
2012.10.04	21.96	22.40	21.41	21.60	3573	0	0
2012.10.05	21.70	21.72	20.86	20.91	3021	0	0
2012.10.08	21.00	21.00	20.16	20.37	3001	0	0
2012.10.09	20.40	20.60	19.97	20.20	2148	0	0
2012.10.10	20.25	20.25	19.45	19.60	2663	0	0
2012.10.11	19.74	19.96	19.61	19.81	2075	0	0
2012.10.12	19.90	19.90	19.48	19.53	1920	0	0
2012.10.15	19.55	19.88	19.48	19.50	2094	0	0
2012.10.16	19.63	19.70	19.30	19.46	1915	0	0
2012.10.17	19.58	20.48	19.37	19.93	2948	0	0
2012.10.18	20.00	20.06	18.89	19.03	2774	0	0
2012.10.19	19.05	19.14	18.80	19.03	2055	0	0
2012.10.22	19.05	19.57	19.00	19.51	2615	0	0
2012.10.23	19.59	22.19	18.51	22.01	6585	0	0
2012.10.24	21.90	25.00	21.63	23.53	9924	0	0
2012.10.25	23.53	23.69	22.24	22.43	3865	0	0
2012.10.26	22.29	22.88	21.70	21.70	4252	0	0
2012.10.31	21.95	21.98	20.58	21.13	3785	0	0
2012.11.01	21.05	21.44	21.01	21.30	2494	0	0
2012.11.02	21.32	21.69	21.07	21.19	2288	0	0
2012.11.05	21.08	21.48	20.92	21.18	2195	0	0
2012.11.06	21.28	21.37	20.99	21.14	1926	0	0
2012.11.07	21.08	21.18	20.37	20.51	2598	0	0
2012.11.08	20.60	20.73	19.82	19.87	2704	0	0
2012.11.09	19.91	20.00	19.09	19.22	2768	0	0
2012.11.12	19.26	20.17	18.87	19.99	3473	0	0
