DATE,^SPX_CLOSE,^SPX_VOLUME,^DJI_CLOSE,^DJI_VOLUME,META_CLOSE,META_VOLUME,GPRD,FEARANDGREED
2020-09-17,3357.010009765625,4379840000,27901.98046875,437230000,254.82000732421875,31281400,100.07757568359375,50.0
2020-09-18,3319.469970703125,7076400000,27657.419921875,698710000,252.52999877929688,28130800,86.33578491210938,50.0
2020-09-21,3281.06005859375,4836070000,27147.69921875,523660000,248.14999389648438,24709400,52.916419982910156,50.0
2020-09-22,3315.570068359375,3974510000,27288.1796875,420720000,254.75,30293100,94.38795471191406,50.0
2020-09-23,3236.919921875,4378650000,26763.130859375,459470000,249.02000427246094,19641300,62.16614532470703,50.0
2020-09-24,3246.590087890625,4601920000,26815.439453125,447810000,249.52999877929688,20006800,64.86751556396484,50.0
2020-09-25,3298.4599609375,3803330000,27173.9609375,388900000,254.82000732421875,18351300,55.35139083862305,50.0
2020-09-28,3351.60009765625,3950910000,27584.060546875,401860000,256.82000732421875,18826300,104.4075698852539,50.0
2020-09-29,3335.469970703125,3661590000,27452.66015625,303820000,261.7900085449219,20200200,105.160888671875,50.0
2020-09-30,3363.0,4738640000,27781.69921875,452550000,261.8999938964844,20142500,104.96094512939453,50.0
2020-10-01,3380.800048828125,4076340000,27816.900390625,373450000,266.6300048828125,20009800,75.99683380126953,50.0
2020-10-02,3348.419921875,3975180000,27682.810546875,392770000,259.94000244140625,16367600,101.92516326904297,50.0
2020-10-05,3408.60009765625,3692720000,28148.640625,318210000,264.6499938964844,12822300,66.92056274414062,50.0
2020-10-06,3360.969970703125,4453390000,27772.759765625,435030000,258.6600036621094,18696900,85.70679473876953,50.0
2020-10-07,3419.43994140625,3814750000,28303.4609375,328750000,258.1199951171875,23133400,83.25235748291016,50.0
2020-10-08,3446.830078125,3867640000,28425.509765625,314750000,263.760009765625,16312800,113.64591217041016,50.0
2020-10-09,3477.139892578125,3944090000,28586.900390625,324050000,264.45001220703125,14107800,81.5680160522461,50.0
2020-10-12,3534.219970703125,3435760000,28837.51953125,493680000,275.75,31019300,67.71858978271484,50.0
2020-10-13,3511.929931640625,3611100000,28679.810546875,526110000,276.1400146484375,18063300,78.08782196044922,50.0
2020-10-14,3488.669921875,3858510000,28514.0,370800000,271.82000732421875,15577800,47.69403839111328,50.0
2020-10-15,3483.340087890625,3724550000,28494.19921875,328940000,266.7200012207031,15416100,107.97156524658203,50.0
2020-10-16,3483.81005859375,4688030000,28606.310546875,356140000,265.92999267578125,16622700,123.50452423095703,50.0
2020-10-19,3426.919921875,4091080000,28195.419921875,358700000,261.3999938964844,13587000,95.217529296875,50.0
2020-10-20,3443.1201171875,3917850000,28308.7890625,350220000,267.55999755859375,18763200,98.67223358154297,50.0
2020-10-21,3435.56005859375,4103960000,28210.8203125,299420000,278.7300109863281,28998600,72.01234436035156,50.0
2020-10-22,3453.489990234375,4172060000,28363.66015625,330320000,278.1199951171875,16720000,101.61250305175781,50.0
2020-10-23,3465.389892578125,3651600000,28335.5703125,347300000,284.7900085449219,17535200,65.72555541992188,50.0
2020-10-26,3400.969970703125,4002210000,27685.380859375,404150000,277.1099853515625,21322900,89.93396759033203,2.7
2020-10-27,3390.679931640625,3962400000,27463.189453125,366400000,283.2900085449219,16287200,130.45274353027344,2.3000000000000003
2020-10-28,3271.030029296875,5139970000,26519.94921875,496150000,267.6700134277344,23121800,81.79179382324219,0.30000000000000004
2020-10-29,3310.110107421875,4911860000,26659.109375,419770000,280.8299865722656,32368100,89.64422607421875,1.1
2020-10-30,3269.9599609375,4843930000,26501.599609375,504820000,263.1099853515625,47247800,80.3587875366211,1.9000000000000001
2020-11-02,3310.239990234375,4314690000,26925.05078125,379990000,261.3599853515625,27165700,56.625091552734375,2.8000000000000003
2020-11-03,3369.159912109375,4241380000,27480.029296875,350980000,265.29998779296875,17961900,162.6325225830078,3.6
2020-11-04,3443.43994140625,4790400000,27847.66015625,447860000,287.3800048828125,35364400,129.5658721923828,50.0
2020-11-05,3510.449951171875,4858150000,28390.1796875,390140000,294.67999267578125,23823600,69.64662170410156,50.0
2020-11-06,3509.43994140625,4842460000,28323.400390625,326710000,293.4100036621094,13891000,62.92530059814453,50.0
2020-11-09,3550.5,8570510000,29157.970703125,673310000,278.7699890136719,25117700,105.3998794555664,50.0
2020-11-10,3545.530029296875,6037470000,29420.919921875,526980000,272.42999267578125,29067700,58.58963394165039,50.0
